Stop Name,Time,Lat,Lon,W3W
"Bus Stop, Woodstock Rd/Farndon Rd, Oxford",16:45:00,51.765618,-1.265102,///bench.yappy.solid
"Bus Stop (Opposite Bramley Cl), Bicester Rd, Kidlington",17:00:00,51.818928,-1.271313,///spite.staining.deleting
"Bus Stop (Opposite Co-op), Whitelands Wy, Bicester",17:15:00,51.893313,-1.169702,///signs.bother.flotation
"Junction London Rd/Priory Rd, Bicester",17:20:00,51.894904,-1.148476,///await.closes.enjoy
"Bus Stop, Skimmingdish Ln, Caversfield",17:25:00,51.918351,-1.146708,///tech.beards.tweezers
"Nelson St (Opposite St. Rumbolds Ln), Buckingham",17:45:00,51.998073,-0.990437,///cabinet.driveways.miss
"Market Square, High St, Buckingham",17:50:00,52.000687,-0.986703,///emperor.wheat.flames
"Bus Stop, Moreton Rd, Buckingham",17:55:00,52.004703,-0.985388,///leap.slug.dockers
"Junction Main St/Church St, Maids Moreton",18:00:00,52.011899,-0.971675,///fairway.tripling.objecting
"Junction Akeley Rd/ Akeley Wood Lodge Rd, Akeley",18:05:00,52.029875,-0.97943,///dogs.polishing.rates
"Whittlebury Hall Hotel Entrance, Whittlebury",18:15:00,52.080328,-0.997434,///universal.snacks.cones
